,Row,Col,Sector,Positivity,Block,Grouping
84,8,1,1,0.010115,C,TFL
85,8,2,1,0.0355307,C,TFL
86,8,3,1,0.014947799999999997,C,TFL
87,8,4,1,0.10358800000000001,C,TFL
88,8,5,1,0.0163447,C,TFL
89,8,6,1,0.025348500000000003,C,TFL
90,8,7,1,0.0213674,C,TFL
91,8,8,1,0.0176435,C,TFL
92,8,9,1,0.030627099999999997,C,TFL
93,8,10,1,0.026142500000000003,C,TFL
94,8,11,1,0.0201706,C,TFL
95,8,12,1,0.0290569,C,TFL
96,9,1,1,0.0078444,C,TFL
97,9,2,1,0.0136904,C,TFL
98,9,3,1,0.0492707,C,TFL
99,9,4,1,0.0323397,C,TFL
100,9,5,1,0.0420074,C,TFL
101,9,6,1,0.0376735,C,TFL
102,9,7,1,0.0308676,C,TFL
103,9,8,1,0.025326599999999998,C,TFL
104,9,9,1,0.022805900000000004,C,TFL
105,9,10,1,0.00939626,C,TFL
106,9,11,1,0.05318150000000001,C,TFL
107,9,12,1,0.039545300000000005,C,TFL
0,1,1,1,0.0096506,D,TFL
1,1,2,1,0.0031985,D,TFL
2,1,3,1,0.0105132,D,TFL
3,1,4,1,0.0183423,D,TFL
4,1,5,1,0.0129505,D,TFL
5,1,6,1,0.0127946,D,TFL
6,1,7,1,2.6761599999999998e-05,D,TFL
7,1,8,1,0.0010395,D,TFL
8,1,9,1,0.00763723,D,TFL
9,1,10,1,0.00688976,D,TFL
10,1,11,1,0.0,D,TFL
11,1,12,1,0.00819672,D,TFL
12,2,1,1,0.00397591,D,TFL
13,2,2,1,0.00536105,D,TFL
14,2,3,1,0.00818833,D,TFL
15,2,4,1,0.027975299999999998,D,TFL
16,2,5,1,0.00944151,D,TFL
17,2,6,1,0.00876657,D,TFL
18,2,7,1,0.013661700000000002,D,TFL
19,2,8,1,0.00968249,D,TFL
20,2,9,1,0.00262212,D,TFL
21,2,10,1,0.00181064,D,TFL
22,2,11,1,0.036545999999999995,D,TFL
23,2,12,1,0.26722399999999996,D,TFL
24,3,1,1,0.00211015,D,TFL
25,3,2,1,0.00155949,D,TFL
26,3,3,1,0.0006415580000000001,D,TFL
27,3,4,1,0.000268606,D,TFL
28,3,5,1,0.023165900000000003,D,TFL
29,3,6,1,0.00925912,D,TFL
30,3,7,1,0.00917104,D,TFL
31,3,8,1,0.012237200000000002,D,TFL
32,3,9,1,0.011058,D,TFL
33,3,10,1,0.00734857,D,TFL
34,3,11,1,0.0267603,D,TFL
35,3,12,1,0.143681,D,TFL
36,4,1,1,0.00205187,D,TFL
37,4,2,1,0.00133051,D,TFL
38,4,3,1,0.397552,D,TFL
39,4,4,1,0.00907934,D,TFL
40,4,5,1,0.00865288,D,TFL
41,4,6,1,0.0691746,D,TFL
42,4,7,1,0.018526499999999998,D,TFL
43,4,8,1,0.010517,D,TFL
44,4,9,1,0.049917,D,TFL
45,4,10,1,0.05863959999999999,D,TFL
46,4,11,1,0.107119,D,TFL
47,4,12,1,0.00996393,D,TFL
48,5,1,1,0.03897659999999999,D,TFL
49,5,2,1,0.0178827,D,TFL
50,5,3,1,0.038442000000000004,D,TFL
51,5,4,1,0.0345215,D,TFL
52,5,5,1,0.0174142,D,TFL
53,5,6,1,0.027505500000000002,D,TFL
54,5,7,1,0.0375946,D,TFL
55,5,8,1,0.020613,D,TFL
56,5,9,1,0.0376046,D,TFL
57,5,10,1,0.0507043,D,TFL
58,5,11,1,0.123669,D,TFL
59,5,12,1,0.203976,D,TFL
60,6,1,1,0.0154107,D,TFL
61,6,2,1,0.0248526,D,TFL
62,6,3,1,0.022290200000000003,D,TFL
63,6,4,1,0.0259108,D,TFL
64,6,5,1,0.0157605,D,TFL
65,6,6,1,0.0334779,D,TFL
66,6,7,1,0.040782900000000004,D,TFL
67,6,8,1,0.0856658,D,TFL
68,6,9,1,0.000925722,D,TFL
69,6,10,1,0.00160274,D,TFL
70,6,11,1,0.015245400000000001,D,TFL
71,6,12,1,0.0107269,D,TFL
72,7,1,1,0.00405778,D,TFL
73,7,2,1,0.00634209,D,TFL
74,7,3,1,0.202285,D,TFL
75,7,4,1,0.21204499999999998,D,TFL
76,7,5,1,0.00520704,D,TFL
77,7,6,1,0.00270038,D,TFL
78,7,7,1,0.00190363,D,TFL
79,7,8,1,0.0016919,D,TFL
80,7,9,1,0.0756814,D,TFL
81,7,10,1,0.11363599999999999,D,TFL
82,7,11,1,0.033827300000000005,D,TFL
83,7,12,1,0.011592,D,TFL
84,8,1,1,0.00829403,D,TFL
85,8,2,1,0.0321884,D,TFL
86,8,3,1,0.0178077,D,TFL
87,8,4,1,0.00961372,D,TFL
88,8,5,1,0.00642933,D,TFL
89,8,6,1,0.00744487,D,TFL
90,8,7,1,0.00243136,D,TFL
91,8,8,1,0.00211664,D,TFL
92,8,9,1,0.0291974,D,TFL
93,8,10,1,0.0477062,D,TFL
94,8,11,1,0.017321,D,TFL
95,8,12,1,0.00583515,D,TFL
